the|the 定冠词
a|a 不定冠词
an|an 不定冠词
of|of …的
to|to 到/不定式
in|in 在…里
on|on 在…上
at|at 在
by|by 通过/由
for|for 为了
with|with 和/用
without|without 没有
from|from 从
about|about 关于
against|against 反对
between|between 在…之间
among|among 在…之中
through|through 通过
during|during 在…期间
until|until 直到
before|before 在…之前
after|after 在…之后
over|over 在…之上
under|under 在…之下
above|above 在…之上
below|below 在…之下
near|near 在…附近
beside|beside 在…旁边
behind|behind 在…后面
inside|inside 在…里面
outside|outside 在…外面
toward|toward 朝向
within|within 在…内
and|and 和
or|or 或者
but|but 但是
if|if 如果
when|when 当…时
while|while 当…时
as|as 像/因为
than|than 比
because|because 因为
since|since 自从
unless|unless 除非
although|although 虽然
though|though 虽然
whether|whether 是否
once|once 一旦
however|however 然而
therefore|therefore 因此
thus|thus 因此
hence|hence 因此
otherwise|otherwise 否则
i|I 我
me|me 我(宾)
my|my 我的
mine|mine 我的东西
myself|myself 我自己
you|you 你
your|your 你的
yours|yours 你的东西
yourself|yourself 你自己
he|he 他
him|him 他(宾)
his|his 他的
himself|himself 他自己
she|she 她
her|her 她(宾)/她的
hers|hers 她的东西
herself|herself 她自己
it|it 它
its|its 它的
itself|itself 它自己
we|we 我们
us|us 我们(宾)
our|our 我们的
ours|ours 我们的东西
ourselves|ourselves 我们自己
they|they 他们
them|them 他们(宾)
their|their 他们的
theirs|theirs 他们的东西
themselves|themselves 他们自己
this|this 这个
that|that 那个
these|these 这些
those|those 那些
who|who 谁
whom|whom 谁(宾)
whose|whose 谁的
which|which 哪个
what|what 什么
someone|someone 某人
somebody|somebody 某人
something|something 某事
anyone|anyone 任何人
anybody|anybody 任何人
anything|anything 任何事
everyone|everyone 每个人
everybody|everybody 每个人
everything|everything 每件事
noone|noone 没人
nobody|nobody 没人
nothing|nothing 没什么
one|one 一个/某人
each|each 每个
every|every 每个
both|both 两者都
either|either 任一
neither|neither 两者都不
other|other 其他
another|another 另一个
such|such 这样的
same|same 相同的
be|be 是
am|am 是(我)
is|is 是(他)
are|are 是(他们)
was|was 是(过去)
were|were 是(过去)
been|been 是(完成)
being|being 正在是
have|have 有
has|has 有(他)
had|had 有(过去)
having|having 正在有
do|do 做
does|does 做(他)
did|did 做(过去)
doing|doing 正在做
done|done 已完成
go|go 去
come|come 来
make|make 做/制造
take|take 拿
get|get 得到
know|know 知道
see|see 看见
think|think 想/认为
say|say 说
tell|tell 告诉
want|want 想要
use|use 使用
find|find 发现
give|give 给
try|try 尝试
leave|leave 离开
call|call 打电话/叫
keep|keep 保持
let|let 让
begin|begin 开始
seem|seem 似乎
help|help 帮助
show|show 显示
hear|hear 听
play|play 玩
run|run 跑
move|move 移动
live|live 居住
believe|believe 相信
hold|hold 握住
bring|bring 带来
happen|happen 发生
write|write 写
provide|provide 提供
sit|sit 坐
stand|stand 站
lose|lose 丢失
pay|pay 付钱
meet|meet 遇见
include|include 包含
continue|continue 继续
set|set 设置
learn|learn 学习
change|change 改变
lead|lead 领导
understand|understand 理解
watch|watch 观看
follow|follow 跟随
stop|stop 停止
create|create 创造
speak|speak 说
read|read 读
spend|spend 花费
grow|grow 生长
open|open 打开
walk|walk 走
win|win 赢
offer|offer 提供
remember|remember 记得
love|love 爱
consider|consider 考虑
appear|appear 出现
buy|buy 买
wait|wait 等
serve|serve 服务
die|die 死
send|send 发送
expect|expect 期望
build|build 建造
stay|stay 停留
fall|fall 落下
cut|cut 切
reach|reach 到达
kill|kill 杀
remain|remain 留下
suggest|suggest 建议
raise|raise 举起
pass|pass 通过
sell|sell 卖
require|require 需要
report|report 报告
decide|decide 决定
pull|pull 拉
develop|develop 开发
hope|hope 希望
carry|carry 携带
break|break 打破
receive|receive 接收
agree|agree 同意
support|support 支持
hit|hit 打
produce|produce 生产
eat|eat 吃
cover|cover 覆盖
catch|catch 抓住
draw|draw 画/拉
choose|choose 选择
study|study 学习
form|form 形成
attach|attach 附上
face|face 面对
deal|deal 处理
must|must 必须
should|should 应该
would|would 将/会
could|could 能
can|can 能
will|will 将要
may|may 可能
might|might 可能
need|need 需要
dare|dare 敢
ought|ought 应该
used|used 过去常常
went|went go的过去式
came|came come的过去式
made|made make的过去式
took|took take的过去式
got|got get的过去式
knew|knew know的过去式
saw|saw see的过去式
thought|thought think的过去式
told|told tell的过去式
gave|gave give的过去式
left|left leave的过去式
called|called call的过去式
kept|kept keep的过去式
began|began begin的过去式
seemed|seemed seem的过去式
showed|showed show的过去式
brought|brought bring的过去式
wrote|wrote write的过去式
spent|spent spend的过去式
grew|grew grow的过去式
opened|opened open的过去式
walked|walked walk的过去式
offered|offered offer的过去式
remembered|remembered remember的过去式
loved|loved love的过去式
considered|considered consider的过去式
appeared|appeared appear的过去式
bought|bought buy的过去式
waited|waited wait的过去式
served|served serve的过去式
died|died die的过去式
sent|sent send的过去式
built|built build的过去式
fell|fell fall的过去式
reached|reached reach的过去式
killed|killed kill的过去式
suggested|suggested suggest的过去式
