# GRE 词汇词典
# GRE 研究生入学考试词汇
# 共 7479 条
# 格式: word|translation

brindled|brindled a. 有斑的, 有斑纹的
anthropoid|anthropoid n. 类人猿；a. 似人的
impermeability|impermeability n. 不渗透性, 不透过性；[医] 不[渗]透性
satiated|satiated a. [对...厌倦的；充分满足的；生腻的[with]
ciliate|ciliate a. 有睫的, 有纤毛的；n. 纤毛纲的动物, 纤毛虫
polyandry|polyandry n. 一妻多夫, 多雄蕊式；[医] [一雌]多雄配合, [一妻]多夫配合
fustian|fustian n. 棉麻粗布, 浮夸的话；a. 棉麻粗布的, 浮夸的
parturition|parturition n. 分娩, 生产；[医] 分娩, 生产
instate|instate vt. 任命；[法] 授予人职位, 任命, 安置
badinage|badinage n. 开玩笑；嘲弄, 揶揄
hypotenuse|hypotenuse n. (直角三角形之)斜边
cineaste|cineaste n. 电影爱好者, 电影制作人员
numismatist|numismatist n. 钱币(或奖章)收藏家
vulpine|vulpine a. 狐狸的, 狐狸似的, 诡计多端的
coeval|coeval a. 同时代的；n. 同时代的人
desuetude|desuetude n. 废止, 不用；[法] 废止, 废绝, 法律的失效
presumable|presumable a. 可推测的, 可能有的, 似真的；[法] 可假定的:可推测的, 可推定的:可能的
gregariousness|gregariousness 集群性; 簇聚性
inadvertence|inadvertence n. 漫不经心, 粗心大意, 疏漏, 错误；[法] 粗心大意, 疏漏, 漫不经心
emend|emend vt. 修订, 校勘
puissant|puissant a. 强有力的, 强盛的, 有权力的
maleficent|maleficent a. 有害的, 做坏事的, 犯罪的
prognosticate|prognosticate vt. 预兆, 预言, 预测；[医] 预测(疾病的结局)
prepossessing|prepossessing a. 给人好感的
waggish|waggish a. 爱开玩笑的, 诙谐的
homiletics|homiletics n. 说教术
flagellate|flagellate vt. 鞭打, 鞭挞；a. 鞭状的, 鞭索形的, 有鞭毛的；n. 鞭毛虫
emolument|emolument n. 薪水, 报酬
debouch|debouch vi. 走出, 流出；vt. 使流出
vitalize|vitalize vt. 赋予生命, 给予活力, 使有生气；[医] 使有生机, 活力化
expatiate|expatiate vi. 详述, 细说, 漫游
nugatory|nugatory a. 无价值的, 无用的, 无效的, 琐碎的
cynosure|cynosure n. 小熊座, 北极星, 众目之的
cavil|cavil n. 无端的指责, 挑剔；v. 吹毛求疵
congruous|congruous a. 一致的, 适合的, 符合的
drollery|drollery n. 玩笑
rarefaction|rarefaction n. 稀薄化, 稀薄；[医] 稀疏[状态], 疏松[状态]
florescence|florescence n. 开花, 花期, 全盛期；[医] 开花期, 花候
